Date,Open,High,Low,Close,Adj Close,Volume
2023-11-20,371.220001,378.869995,371.000000,377.440002,377.440002,52465100
2023-11-21,375.670013,376.220001,371.119995,373.070007,373.070007,28423100
2023-11-22,378.000000,379.790009,374.970001,377.850006,377.850006,23345300
2023-11-24,377.329987,377.970001,375.140015,377.429993,377.429993,10176600
2023-11-27,376.779999,380.640015,376.200012,378.609985,378.609985,22179200
2023-11-28,378.350006,383.000000,378.160004,382.700012,382.700012,20453100
2023-11-29,383.760010,384.299988,377.440002,378.850006,378.850006,28963400
2023-11-30,378.489990,380.089996,375.470001,378.910004,378.910004,30554400
2023-12-01,376.760010,378.160004,371.309998,374.510010,374.510010,33020400
2023-12-04,369.100006,369.519989,362.899994,369.140015,369.140015,32063300
2023-12-05,366.450012,373.079987,365.619995,372.519989,372.519989,23065000
